bank_name,assessment,num_sources,strategies_used
Citizens Financial Group,"TOP RISKS:
1. **Interest Rate Risk**: Changes in interest rates may negatively impact Citizens Financial Group's net interest margin and net interest income due to increased funding costs and reduced loan and deposit growth.
2. **Deposit Risk**: Citizens Financial Group's reliance on deposits, particularly uninsured deposits, may expose the company to liquidity risks if depositors withdraw their funds, and the company may struggle to replace them.
3. **Liquidity Risk**: Citizens Financial Group's liquidity position may be negatively impacted by economic conditions, changes in regulations, and the company's ability to access historical and alternative sources of liquidity.

LIQUIDITY: **MODERATE**
Citizens Financial Group appears to have a moderate liquidity position, with a significant portion of uninsured deposits and a relatively high percentage of deposits at risk. However, the company has taken steps to mitigate this risk by maintaining a high level of liquidity and having access to additional borrowing capacity.

WARNING LANGUAGE: **""no assurance,"" ""may be unable to access,"" ""may be negatively impacted,"" ""may not be successful,"" and ""there can be no assurance""**
These warning terms indicate that Citizens Financial Group faces significant risks and uncertainties that may impact its financial performance and liquidity.

FRAGILITY RATING: **ELEVATED**
Citizens Financial Group's elevated fragility rating reflects the company's exposure to interest rate risk, deposit risk, and liquidity risk. While the company has taken steps to mitigate these risks, the potential consequences of a significant economic downturn or changes in interest rates could have a material impact on the company's financial performance.

REASONING: Citizens Financial Group's elevated fragility rating is driven by the company's significant exposure to interest rate risk, deposit risk, and liquidity risk. While the company has taken steps to mitigate these risks, the potential consequences of a significant economic downturn or changes in interest rates could have a material impact on the company's financial performance.",6,['general_fallback']
Columbia Banking System,"Based on the provided excerpts from SEC 10-K filings, here is the risk assessment for Columbia Banking System:

TOP RISKS:
1. **Interest Rate Risk**: Changes in interest rates may affect the bank's net interest margin, funding costs, and liquidity position, potentially leading to reduced profitability and increased risk.
2. **Deposit Risk**: The bank's reliance on deposits, which can be withdrawn on demand or short notice, may lead to liquidity issues and increased funding costs if depositors withdraw their funds.
3. **Credit Risk**: The bank's exposure to credit risk, particularly in its loan portfolio, may be affected by changes in market conditions, economic downturns, and the quality of its loan assets.

LIQUIDITY: **MODERATE**
The bank's liquidity position appears to be moderate, with a significant portion of its deposits insured by the FDIC and a substantial amount of collateralized deposits. However, the bank's reliance on deposits and its potential exposure to interest rate risk may impact its liquidity position in the future.

WARNING LANGUAGE: **""No assurance,"" ""may be unable to access historical and alternative sources of liquidity,"" ""may be unable to replace such funds in the future,"" ""there can be no assurance,"" ""may be less beneficial or result in losses,"" and ""may be negatively impacted""** are key warning language found in the provided excerpts.

FRAGILITY RATING: **MODERATE**
The bank's moderate liquidity position, combined with its exposure to interest rate risk and deposit risk, suggests a moderate level of fragility. While the bank appears to have some mitigating strategies in place, such as interest rate swaps and collateralized deposits, its reliance on deposits and potential exposure to credit risk may still pose some risk.

REASONING: Columbia Banking System appears to be moderately fragile due to its reliance on deposits and potential exposure to interest rate risk and credit risk. While the bank has some mitigating strategies in place, its moderate liquidity position and reliance on deposits suggest that it may be vulnerable to changes in market conditions and economic downturns.",6,['general_fallback']
Comerica,"Based on the provided SEC 10-K filing excerpts, here is the assessment for Comerica:

TOP RISKS:
1. **Interest Rate Risk**: Changes in interest rates may impact Comerica's net interest margin, net interest income, and loan and deposit growth, as well as the quality of its loan portfolio.
2. **Liquidity Risk**: Comerica's liquidity position may be negatively impacted by economic conditions, deposit withdrawals, and the availability of funding sources, including the capital markets, brokered deposits, and borrowings from the FHLB.
3. **Deposit Risk**: Comerica's access to deposits may be affected by the liquidity needs of its depositors, and a substantial majority of its liabilities are checking accounts and other liquid deposits, which are payable on demand or upon several days' notice.

LIQUIDITY: **MODERATE**
Comerica's liquidity position appears to be moderate, with a significant portion of its liabilities being liquid deposits. However, the company's reliance on funding sources such as the capital markets, brokered deposits, and borrowings from the FHLB may pose some liquidity risks.

WARNING LANGUAGE: **""No assurance that such mitigation strategies will be available or successful""** and **""There can be no assurance that such mitigation strategies will be available or successful""** (Source 2 and Source 3) indicate that Comerica may not be able to successfully mitigate its interest rate and liquidity risks.

FRAGILITY RATING: **MODERATE**
Comerica's moderate liquidity position and reliance on funding sources, combined with its interest rate and deposit risks, suggest a moderate level of fragility.

REASONING: Comerica's moderate fragility rating is due to its ability to manage its liquidity position and mitigate its interest rate risks through various strategies. However, the company's reliance on funding sources and its deposit risks may pose some challenges in the event of economic downturns or changes in interest rates.",6,['general_fallback']
Cullen/Frost Bankers,"Based on the provided excerpts from SEC 10-K filings, here's a concise assessment for Cullen/Frost Bankers:

TOP RISKS:
1. **Interest Rate Risk**: Increases in interest rates may negatively impact net interest margin, net interest income, and the value of securities, potentially leading to reduced profitability.
2. **Deposit Market Volatility**: Changes in deposit rates and availability may lead to increased funding costs, reduced liquidity, and decreased access to deposits, affecting the bank's capital resources and financial results.
3. **Credit Risk**: The bank's exposure to credit risk, particularly in the mortgage-backed securities portfolio, may lead to losses if borrowers default or interest rates rise, negatively impacting the bank's financial performance.

LIQUIDITY: **MODERATE**
The bank's liquidity position appears to be moderate, with a significant portion of deposits insured by the FDIC, but also with a substantial amount of uninsured deposits, which could pose a risk if depositors withdraw their funds.

WARNING LANGUAGE: **""There can be no assurance that such mitigation strategies will be available or successful""**, indicating that the bank's efforts to manage risks may not be effective, and **""Changes in the cost and availability of funding due to changes in the deposit market and credit market may adversely affect our capital resources, liquidity and financial results""**, highlighting the potential impact of market changes on the bank's financial stability.

FRAGILITY RATING: **MODERATE**
The bank's moderate liquidity position, combined with the potential risks associated with interest rate changes and credit risk, suggest a moderate level of fragility.

REASONING: Cullen/Frost Bankers appears to be vulnerable to changes in the interest rate environment and deposit market volatility, which could negatively impact its profitability and liquidity. While the bank has implemented strategies to mitigate these risks, there is no guarantee of their effectiveness.",6,['general_fallback']
Fifth Third Bancorp,"**TOP RISKS:**

1. **Interest Rate Risk**: Fifth Third Bancorp is exposed to interest rate risk due to the potential adverse changes to net interest income and financial position resulting from changes in market interest rates.
2. **Credit Risk**: The bank faces credit risk due to the potential deterioration in the macroeconomic environment, commercial borrowers' ability to repay loans, and the impact of the COVID-19 pandemic on credit quality.
3. **Transition Risk**: The bank is at risk due to the transition from LIBOR to SOFR, which may behave differently in reaction to monetary, market, and economic events.

**LIQUIDITY:**
The liquidity position of Fifth Third Bancorp appears to be manageable, with a sufficient reserve for unfunded commitments and a comprehensive review of legacy documentation to facilitate the transition to alternative reference rates.

**WARNING LANGUAGE:**
Key warning language found in the filing includes:

* ""The replacement of LIBOR could adversely affect Fifth Third's revenue or expenses and the value of those assets or obligations.""
* ""The continuing pandemic and related global economic crisis will adversely impact its future operating results.""
* ""The change in market interest rates over time exposes the Bancorp to interest rate risk through potential adverse changes to net interest income and financial position.""

**FRAGILITY RATING:** MODERATE
**REASONING:** Fifth Third Bancorp appears to have a moderate level of fragility due to its exposure to interest rate risk, credit risk, and transition risk. While the bank has taken steps to manage these risks, the potential impact of the COVID-19 pandemic and the transition from LIBOR to SOFR may still pose significant challenges to its financial performance and stability.",8,['bank_specific']
First Horizon,"TOP RISKS:
1. **Interest Rate Risk**: First Horizon's net interest income is sensitive to changes in interest rates, and the bank's variable-rate loans and deposits may pose a risk to earnings and capital in a rising interest rate environment.
2. **Credit Risk**: The bank's HELOC portfolio and credit card and other consumer loan portfolio carry elevated risks of default, particularly in a rising interest rate environment, potentially stressing borrower capacity to repay the loan at the higher interest rate.
3. **Capital Adequacy**: First Horizon's capital ratios have decreased in 2025, largely from an increase in risk-weighted assets, and the bank's ability to maintain capital above well-capitalized standards plus the required capital conservation buffer is uncertain.

LIQUIDITY: **MODERATE**
First Horizon's liquidity position is moderate, with a decrease in noninterest-bearing deposits and an increase in interest-bearing deposits in 2025. However, the bank's liquidity metrics are not explicitly disclosed, making it difficult to assess the bank's ability to meet its short-term obligations.

WARNING LANGUAGE: 
- ""elevated risks of default""
- ""potentially stressing borrower capacity to repay the loan at the higher interest rate""
- ""capital conservation buffer""
- ""well-capitalized standards""

FRAGILITY RATING: **MODERATE**
REASONING: First Horizon's moderate liquidity position and decreased capital ratios in 2025 suggest a moderate level of fragility. However, the bank's risk management practices, such as its HELOC underwriting guidelines and continuous account reviews, may help mitigate some of these risks.",8,['bank_specific']
First Republic Bank,"Based on the provided SEC 10-K filing excerpts, here is the assessment for First Republic Bank:

**TOP RISKS:**

1. **Interest Rate Risk**: Changes in interest rates may negatively impact the bank's net interest margin, net interest income, and overall financial results.
2. **Deposit Risk**: The bank's access to deposits may be affected by the liquidity needs of depositors, and a substantial majority of its liabilities are checking accounts and other liquid deposits, which are payable on demand or upon several days' notice.
3. **Liquidity Risk**: The bank's liquidity position may be negatively impacted if economic conditions do not improve or if they decline, and the bank may be unable to access historical and alternative sources of liquidity.

**LIQUIDITY:** The bank's liquidity position appears to be relatively stable, with uninsured deposits representing 22.3% of total deposits at December 31, 2025, and the bank having additional borrowing capacity from the FHLB and the FRB.

**WARNING LANGUAGE:** Key warning language found includes ""there can be no assurance that such mitigation strategies will be available or successful,"" ""we may be unable to access historical and alternative sources of liquidity,"" and ""our liquidity position may be negatively impacted if economic conditions do not improve or if they decline.""

**FRAGILITY RATING:** MODERATE
**REASONING:** While the bank's liquidity position appears to be relatively stable, the top risks identified, including interest rate risk and deposit risk, could potentially impact the bank's financial results and liquidity position. The warning language found in the excerpts suggests that the bank may be vulnerable to changes in interest rates and economic conditions, which could lead to a moderate level of fragility.",6,['general_fallback']
Glacier Bancorp,"TOP RISKS:
1. **Interest Rate Risk**: Glacier Bancorp may face challenges in maintaining adequate liquidity and net interest margin due to rising interest rates, which could lead to higher funding costs and reduced net interest income.
2. **Deposit Risk**: The bank may experience deposit outflows if customers withdraw their deposits in favor of alternative investments, potentially affecting its liquidity position and capital resources.
3. **Liquidity Risk**: Glacier Bancorp's ability to access historical and alternative sources of liquidity, including the capital markets, brokered deposits, and borrowings from the FHLB, may be negatively impacted by changes in the deposit market and credit market.

LIQUIDITY: **MODERATE**
Glacier Bancorp's liquidity position appears to be manageable, with a moderate level of uninsured deposits and a relatively high level of immediately available liquidity. However, the bank's reliance on deposits and its potential exposure to deposit outflows may pose some liquidity risks.

WARNING LANGUAGE: **""No assurance that such mitigation strategies will be available or successful""** and **""there can be no assurance that we will be successful in implementing any new mitigation strategies""** suggest that Glacier Bancorp's risk management strategies may not be effective in addressing potential risks.

FRAGILITY RATING: **MODERATE**
Glacier Bancorp's risk profile appears to be moderate, with a mix of manageable and potential risks. While the bank's liquidity position is relatively stable, its exposure to interest rate risk and deposit risk may pose some challenges in the future.

REASONING: Glacier Bancorp's moderate risk profile is driven by its relatively stable liquidity position, but also by its potential exposure to interest rate risk and deposit risk. The bank's ability to manage these risks effectively will be crucial in maintaining its financial stability and competitiveness in the market.",6,['general_fallback']
Heartland BancCorp,"TOP RISKS:
1. **Credit Risk**: The bank's loan portfolio is primarily secured by real estate, which reduces loss exposure but also increases the risk of credit losses due to market volatility and borrower defaults.
2. **Regulatory Capital Requirements**: The bank must maintain minimum capital ratios, including a CET1 risk-based capital ratio of 4.5%, a Tier 1 risk-based capital ratio of 6.0%, and a total risk-based capital ratio of 8.0%, to avoid restrictions on capital distributions and discretionary bonus payments.
3. **Market Risk**: The bank's loan portfolio is exposed to market risk due to the volatility of commercial real estate and other asset classes, which could lead to credit losses and impact the bank's capital ratios.

LIQUIDITY: **MODERATE**
The bank's liquidity position appears to be moderate, with a sufficient level of liquid assets to meet short-term obligations. However, the bank's reliance on wholesale funding and its exposure to market risk may impact its ability to access liquidity in times of stress.

WARNING LANGUAGE: **""Credit losses are inherent in the lending business and could have a material adverse effect on our operating results and ability to meet our obligations.""**

FRAGILITY RATING: **LOW**
The bank's capital ratios and liquidity position appear to be stable, and the bank has taken steps to mitigate regulatory capital requirements. However, the bank's exposure to credit risk and market risk may impact its ability to maintain its capital ratios and liquidity position in times of stress.

REASONING: Heartland BancCorp appears to have a stable financial position, with sufficient capital ratios and liquidity to meet regulatory requirements. However, the bank's exposure to credit risk and market risk may impact its ability to maintain its capital ratios and liquidity position in times of stress, which could lead to a higher fragility rating.",8,['bank_specific']
Huntington Bancshares,"Based on the provided excerpts from SEC 10-K filings, here's a concise assessment for Huntington Bancshares:

TOP RISKS:
1. **Interest Rate Risk**: The risk of rising interest rates affecting net interest margin, net interest income, and the value of securities held in the portfolio.
2. **Depositor Withdrawal Risk**: The risk of depositors withdrawing their funds, potentially leading to a loss of liquidity and increased funding costs.
3. **Funding Cost Risk**: The risk of increased funding costs due to changes in the deposit market and credit market, potentially affecting capital resources, liquidity, and financial results.

LIQUIDITY: **MODERATE**
Huntington Bancshares appears to have a moderate liquidity position, with a significant portion of uninsured deposits and a substantial amount of collateralized deposits. However, the bank's ability to access alternative sources of liquidity, such as the FHLB and FRB, may be affected by changes in interest rates and economic conditions.

WARNING LANGUAGE: **""No assurance,"" ""may be unable,"" ""may be adversely affected,"" and ""there can be no assurance""** are key warning language found in the provided excerpts, indicating potential risks and uncertainties that may impact Huntington Bancshares' financial performance.

FRAGILITY RATING: **MODERATE**
The fragility rating is moderate due to the potential risks associated with interest rate changes, depositor withdrawal, and funding costs. While Huntington Bancshares appears to have a moderate liquidity position, the bank's ability to manage these risks and maintain its financial stability is uncertain.

REASONING: Huntington Bancshares faces significant risks related to interest rate changes, depositor withdrawal, and funding costs, which may impact its liquidity position and financial performance. While the bank has implemented mitigation strategies, there is no assurance that these strategies will be successful, and the potential risks and uncertainties associated with these factors warrant a moderate fragility rating.",6,['general_fallback']
Independent Bank Group,"TOP RISKS:
1. **Interest Rate Risk**: The company is exposed to interest rate risk due to its monetary assets and liabilities, which can lead to losses if market interest rates move against the company's position.
2. **Credit Risk**: The company has a significant concentration in commercial real estate loans and exposure to credit risk related to the energy industry, which can lead to losses if borrowers default on their loans.
3. **Liquidity Risk**: The company is subject to liquidity risk due to its reliance on cash flow from operations, redeployment of pre-paid and maturing balances, and access to alternative sources of funds, which can be affected by changes in interest rates and economic conditions.

LIQUIDITY: The company's liquidity position appears to be adequate, with a variety of sources to meet its short-term and long-term cash requirements, including cash, interest-bearing deposits, federal funds sold, securities available for sale, and maturing or prepaying balances in its investment and loan portfolios.

WARNING LANGUAGE: Key warning language found in the filings includes ""materially and adversely affected,"" ""adversely affect,"" ""could decline significantly,"" and ""you could lose all or part of your investment,"" indicating potential risks to the company's financial condition, results of operations, and cash flows.

FRAGILITY RATING: MODERATE
REASONING: While the company appears to have a solid liquidity position and adequate capital levels, its exposure to interest rate risk, credit risk, and liquidity risk suggests a moderate level of fragility. The company's ability to manage these risks and maintain its liquidity position will be critical to its long-term success.",8,['bank_specific']
KeyCorp,"**TOP RISKS:**

1. **Liquidity Risk**: KeyCorp's ability to meet its short-term funding needs, particularly in a stressed market or economic downturn, is a significant concern. The company's reliance on wholesale funding and potential limitations on dividend payments by its national bank subsidiaries could exacerbate liquidity issues.
2. **Regulatory Capital Requirements**: KeyCorp's compliance with regulatory capital requirements, including the stress capital buffer and potential countercyclical capital buffer, poses a risk to its capital adequacy and ability to absorb potential losses.
3. **Market Risk**: A downturn in the U.S. economy or a decline in consumer and business confidence could negatively impact KeyCorp's business and access to capital markets, leading to reduced demand for its products and services.

**LIQUIDITY:**
KeyCorp's liquidity position is **MODERATELY VULNERABLE**. While the company maintains a liquid asset portfolio and has implemented strategies to manage funding risks, its reliance on wholesale funding and potential limitations on dividend payments by its national bank subsidiaries could compromise its ability to meet short-term funding needs in a stressed market.

**WARNING LANGUAGE:**
Key warning language found in the filings includes:

* ""A rating downgrade of the securities of KeyCorp or KeyBank could adversely affect our access to liquidity and could significantly increase our cost of funds...""
* ""In the event KeyBank is unable to pay dividends to us, we may not be able to service debt, pay obligations, or pay dividends on our common or preferred stock.""
* ""A worsening of economic and market conditions, downside shocks, or a return to recessionary economic conditions could result in adverse effects on Key and others in the financial services industry.""

**FRAGILITY RATING:**
**MODERATE**

**REASONING:**
KeyCorp's liquidity position and regulatory capital requirements pose significant risks to its financial stability. While the company has implemented strategies to manage these risks, the potential for a stressed market or economic downturn could compromise its ability to meet short-term funding needs and comply with regulatory requirements. Overall, KeyCorp's fragility rating is MODERATE, reflecting a moderate level of vulnerability to potential risks and challenges.",8,['bank_specific']
M&T Bank,"TOP RISKS:

1. **Credit risk**: M&T Bank's exposure to commercial real estate loans, particularly those in the hotel, office, retail, multifamily, and healthcare sectors, poses a significant risk due to inflationary pressures, rising interest rates, and liquidity concerns. The Company's experience with volatile fluctuations in value through economic cycles and changing economic conditions also increases the risk of potential losses.
2. **Interest rate risk**: The bank's net interest spread declined in 2023 due to higher rates on interest-bearing liabilities, which may impact profitability if interest rates continue to rise. The Company's reliance on short-term borrowings and variable-rate loans also increases its exposure to interest rate risk.
3. **Liquidity risk**: M&T Bank's liquidity position is vulnerable due to its high reliance on short-term borrowings and variable-rate loans, which may become difficult to refinance if interest rates rise further. The Company's management of liquidity is critical to maintaining its financial stability.

LIQUIDITY: M&T Bank's liquidity position is MODERATELY VULNERABLE due to its high reliance on short-term borrowings and variable-rate loans.

WARNING LANGUAGE: Key terms found include ""inflationary pressures,"" ""rising interest rates,"" ""liquidity concerns,"" ""volatile fluctuations in value,"" and ""potential losses,"" which suggest potential risks to the Company's financial stability.

FRAGILITY RATING: MODERATE

REASONING: M&T Bank's exposure to credit risk, interest rate risk, and liquidity risk poses a moderate level of fragility. While the Company has taken steps to manage its liquidity and has a strong capital position, its reliance on short-term borrowings and variable-rate loans increases its vulnerability to interest rate risk and liquidity risk. The potential for losses in its commercial real estate loan portfolio also poses a significant risk to the Company's financial stability.",8,['bank_specific']
PacWest Bancorp,"TOP RISKS:

1. **Credit Risk**: The company's focus on relationship-based business banking to small, middle-market, and venture-backed businesses nationwide increases its exposure to credit risk, particularly in the event of economic downturns or industry-specific challenges.
2. **Interest Rate Risk**: The company's reliance on tax-exempt interest on certain loans and investment securities may lead to fluctuations in Net Interest Margin (NIM) due to changes in interest rates, which could negatively impact profitability.
3. **Regulatory Risk**: As a bank holding company, PacWest Bancorp is subject to various regulations and laws, including the Federal Deposit Insurance Act (FDIA) and the Federal Deposit Insurance Corporation Improvement Act (FDICIA), which may impose additional costs, restrictions, or requirements that could impact its operations and profitability.

LIQUIDITY: PacWest Bancorp's liquidity position appears to be relatively stable, with a strong deposit base and access to various funding sources, including the Federal Home Loan Bank of San Francisco. However, the company's reliance on short-term funding sources may increase its vulnerability to liquidity risk in times of market stress.

WARNING LANGUAGE: Key warning language found in the SEC 10-K filings includes:

* ""Credit risk"" and ""interest rate risk"" are identified as significant risks in the company's business.
* The company notes that changes in interest rates, economic conditions, or regulatory requirements could negatively impact its financial performance.
* The company's reliance on short-term funding sources and its exposure to credit risk are highlighted as potential risks.

FRAGILITY RATING: MODERATE

REASONING: While PacWest Bancorp appears to have a relatively stable liquidity position and a strong deposit base, its exposure to credit risk, interest rate risk, and regulatory risk may increase its vulnerability to market and economic fluctuations. The company's focus on relationship-based business banking and its reliance on tax-exempt interest on certain loans and investment securities may also contribute to its moderate fragility rating.",6,['bank_specific']
Pinnacle Financial Partners,"**TOP RISKS:**

1. **Interest Rate Risk**: Pinnacle Financial Partners may face challenges in maintaining its net interest margin and net interest income due to potential increases in funding costs, reduced loan and deposit growth, and decreased quality of the loan portfolio.
2. **Deposit Risk**: The company's access to deposits may be affected by the liquidity needs of depositors, and a substantial majority of its liabilities are checking accounts and other liquid deposits that can be withdrawn on demand.
3. **Liquidity Risk**: Pinnacle Financial Partners may face challenges in maintaining adequate liquidity due to changes in the deposit market and credit market, which could impact its capital resources, liquidity, and financial results.

**LIQUIDITY:**
Pinnacle Financial Partners appears to have a relatively stable liquidity position, with uninsured deposits representing 22.3% of total deposits at December 31, 2025. However, the company's reliance on wholesale funding sources, such as the FHLB and FRB, may increase its liquidity risk.

**WARNING LANGUAGE:**
Key warning language found in the SEC 10-K filings includes:

* ""Changes in the cost and availability of funding due to changes in the deposit market and credit market may adversely affect our capital resources, liquidity and financial results.""
* ""There can be no assurance that such mitigation strategies will be available or successful or that we will be successful in implementing any new mitigation strategies necessary to address the current rising interest rate environment.""
* ""Our liquidity position may be negatively impacted if economic conditions do not improve or if they decline.""

**FRAGILITY RATING:** MODERATE
Pinnacle Financial Partners appears to have a moderate level of fragility due to its exposure to interest rate risk, deposit risk, and liquidity risk. While the company has implemented various mitigation strategies, there are still potential challenges that could impact its financial results and liquidity position.

**REASONING:**
Pinnacle Financial Partners' moderate fragility rating is due to its reliance on wholesale funding sources, its exposure to interest rate risk, and its potential vulnerability to deposit outflows. While the company has a relatively stable liquidity position, its ability to maintain this position in a rapidly changing economic environment is uncertain.",6,['general_fallback']
