bank_name,assessment,num_sources,strategies_used
Prosperity Bancshares,"TOP RISKS:
1. **Interest Rate Risk**: Changes in interest rates may negatively impact Prosperity Bancshares' net interest margin and net interest income, as well as the growth rate of loans and deposits, the quality of the loan portfolio, and the value of mortgage-backed securities.
2. **Deposit Risk**: The bank's reliance on deposits, which are payable on demand or upon several days' notice, makes it vulnerable to deposit withdrawals, potentially affecting its liquidity and funding costs.
3. **Liquidity Risk**: Prosperity Bancshares' liquidity position may be negatively impacted by economic conditions, deposit withdrawals, and changes in the deposit market and credit market, making it challenging to access historical and alternative sources of liquidity.

LIQUIDITY: MODERATE
Prosperity Bancshares has a moderate liquidity position, with uninsured deposits representing 22.3% of total deposits at December 31, 2025. However, the bank has additional borrowing capacity from the FHLB and the FRB, which provides some cushion against potential liquidity risks.

WARNING LANGUAGE: 
- ""Changes in the cost and availability of funding due to changes in the deposit market and credit market may adversely affect our capital resources, liquidity and financial results.""
- ""There can be no assurance that such mitigation strategies will be available or successful or that we will be successful in implementing any new mitigation strategies necessary to address the current rising interest rate environment.""
- ""Our liquidity position may be negatively impacted if economic conditions do not improve or if they decline.""

FRAGILITY RATING: MODERATE
REASONING: Prosperity Bancshares faces moderate risks due to its reliance on deposits, interest rate sensitivity, and potential liquidity challenges. While the bank has some mitigating factors, such as additional borrowing capacity, its liquidity position is not overly robust, and it may struggle to adapt to changes in the deposit market and credit market.",6,['general_fallback']
Regions Financial,"TOP RISKS:
1. **Interest Rate Risk**: Changes in interest rates may negatively impact net interest margin, net interest income, and the value of securities, potentially leading to reduced liquidity and increased funding costs.
2. **Deposit Risk**: A significant portion of deposits may be uninsured, making them vulnerable to withdrawal, and potentially affecting liquidity and funding costs.
3. **Liquidity Risk**: The company's ability to access historical and alternative sources of liquidity, including the capital markets, brokered deposits, and borrowings from the FHLB, may be impacted by changes in the deposit market and credit market.

LIQUIDITY: **MODERATE**
The liquidity position appears moderate, with uninsured deposits representing a significant portion of total deposits, but the company has taken steps to mitigate this risk by maintaining a high level of immediately available liquidity and having access to additional borrowing capacity.

WARNING LANGUAGE: **Interest Rate Risk**, **Deposit Risk**, **Liquidity Risk**, **Mitigation Strategies May Not Be Successful**, **No Assurance of Availability or Success**

FRAGILITY RATING: **MODERATE**
The company's moderate liquidity position and significant uninsured deposits make it vulnerable to changes in interest rates and deposit market conditions, but the company has taken steps to mitigate these risks.

REASONING: Regions Financial's moderate liquidity position and significant uninsured deposits make it susceptible to interest rate and deposit market fluctuations, but the company's efforts to maintain a high level of immediately available liquidity and access to additional borrowing capacity help mitigate these risks.",6,['general_fallback']
Renasant Corporation,"**TOP RISKS:**

1. **Credit Risk**: Renasant Corporation is exposed to significant credit risk due to its loan portfolio, particularly in commercial and industrial, construction, and commercial real estate segments. The company's allowance for credit losses may be insufficient, and it may be required to further increase its provision for credit losses, which could have a material adverse effect on its financial condition and results of operations.
2. **Interest Rate Risk**: Renasant Corporation is vulnerable to interest rate risk, which could impact its net interest income and financial condition. Changes in interest rates may affect loan demand, credit losses, loan origination volume, and the value of financial assets and liabilities.
3. **Regulatory Risk**: Renasant Corporation is subject to extensive government regulation, which could limit or restrict its activities and adversely affect its earnings. Changes to regulations, statutes, or regulatory policies could subject the company to additional costs, limit its ability to offer financial services and products, and increase competition from non-banks.

**LIQUIDITY:**
Renasant Corporation's liquidity position is moderate, relying on dividends from the Bank as its primary source of funds. The company may be required to rely on secondary sources of liquidity, such as Federal Home Loan Bank advances and federal funds lines, to meet withdrawal demands or fund operations.

**WARNING LANGUAGE:**
Key warning language found in the 10-K filings includes:

* ""Could have a material adverse effect on our financial condition and results of operations""
* ""May be required to further increase our provision for credit losses""
* ""Subject to significant revision as more information becomes available""
* ""Could cause us to experience higher than normal delinquencies and credit losses""
* ""Could have a material adverse effect on our earnings""

**FRAGILITY RATING:** ELEVATED
REASONING: Renasant Corporation's elevated fragility rating is due to its exposure to significant credit risk, interest rate risk, and regulatory risk. While the company's liquidity position is moderate, its reliance on dividends from the Bank and potential need for secondary sources of liquidity increase its vulnerability to market fluctuations and regulatory changes.",8,['bank_specific']
Signature Bank,"TOP RISKS:

1. **Interest Rate Risk**: The risk of rising interest rates affecting the bank's net interest margin, net interest income, and liquidity position, as seen in the excerpts from Wintrust Financial and Independent Bank Group.
2. **Deposit Risk**: The risk of depositors withdrawing their funds, affecting the bank's liquidity and funding costs, as seen in the excerpts from Synovus Financial and Webster Financial.
3. **Liquidity Risk**: The risk of the bank being unable to access historical and alternative sources of liquidity, including the capital markets, brokered deposits, and borrowings from the FHLB, as seen in the excerpts from Synovus Financial and Webster Financial.

LIQUIDITY: The liquidity position of Signature Bank appears to be relatively stable, with a low percentage of uninsured deposits (22.3% at December 31, 2025) and a high level of liquidity coverage (178.0% at December 31, 2025).

WARNING LANGUAGE: Key warning language found in the excerpts includes ""there can be no assurance that such mitigation strategies will be available or successful,"" ""we may be unable to access historical and alternative sources of liquidity,"" and ""our liquidity position may be negatively impacted if economic conditions do not improve or if they decline.""

FRAGILITY RATING: MODERATE

REASONING: Signature Bank appears to have a moderate level of fragility due to its exposure to interest rate risk and deposit risk. While its liquidity position is relatively stable, the bank's reliance on uninsured deposits and its ability to access alternative sources of liquidity are potential vulnerabilities. Additionally, the warning language in the excerpts suggests that the bank may face challenges in maintaining its liquidity position in a rapidly changing economic environment.",6,['general_fallback']
Silicon Valley Bank,"TOP RISKS:
1. **Interest Rate Risk**: Silicon Valley Bank's net interest margin and net interest income may be reduced due to increases in funding costs or decreases in loan demand, which could be exacerbated by the bank's reliance on short-term deposits and its limited ability to pass on higher interest rates to customers.
2. **Depositor Withdrawal Risk**: The bank's liquidity position may be negatively impacted if a large number of depositors withdraw their accounts, regardless of the reason, which could be triggered by changes in the deposit market or economic conditions.
3. **Credit Risk**: The bank's loan portfolio may be affected by changes in the credit market, which could result in higher loan losses or reduced loan demand, potentially impacting the bank's capital resources and financial results.

LIQUIDITY: **VULNERABLE**
Silicon Valley Bank's liquidity position is vulnerable due to its reliance on short-term deposits and its limited ability to pass on higher interest rates to customers. The bank's uninsured deposits represent a significant portion of its total deposits, and its ability to access alternative sources of liquidity, such as the capital markets or brokered deposits, may be limited.

WARNING LANGUAGE: **KEY TERMS FOUND**
- ""Changes in the cost and availability of funding due to changes in the deposit market and credit market may adversely affect our capital resources, liquidity and financial results.""
- ""There can be no assurance that such mitigation strategies will be available or successful or that we will be successful in implementing any new mitigation strategies necessary to address the current rising interest rate environment.""
- ""Our liquidity position may be negatively impacted if economic conditions do not improve or if they decline.""

FRAGILITY RATING: **ELEVATED**
The bank's elevated fragility rating is due to its vulnerable liquidity position, reliance on short-term deposits, and limited ability to pass on higher interest rates to customers. The bank's interest rate risk and depositor withdrawal risk also contribute to its elevated fragility rating.

REASONING: Silicon Valley Bank's liquidity position and interest rate risk make it vulnerable to changes in the deposit market and credit market, which could have a significant impact on its capital resources, liquidity, and financial results. The bank's reliance on short-term deposits and limited ability to pass on higher interest rates to customers also contribute to its elevated fragility rating.",6,['general_fallback']
Silvergate Capital,"Based on the provided SEC 10-K filing excerpts, here's the assessment for Silvergate Capital:

TOP RISKS:
1. **Interest Rate Risk**: Increases in interest rates may negatively impact the bank's net interest margin, net interest income, and loan and deposit growth, as well as the value of its securities portfolio.
2. **Depositor Withdrawal Risk**: A significant withdrawal of deposits, either due to changes in the deposit market or economic conditions, may lead to a failure to maintain adequate liquidity, higher funding costs, and reduced capital resources.
3. **Counterparty Risk**: The bank's use of interest rate swaps and other derivative contracts may expose it to losses if the counterparty defaults, which could negatively impact its liquidity position and financial results.

LIQUIDITY: **MODERATE**
The bank's liquidity position appears to be moderate, with a significant portion of its deposits insured by the FDIC and a substantial amount of uninsured deposits covered by collateralized deposits and borrowing capacity from the FHLB and FRB.

WARNING LANGUAGE: **""no assurance,"" ""may be unable to access,"" ""may be negatively impacted,"" ""may result in losses,"" and ""may not be successful""**

FRAGILITY RATING: **ELEVATED**
The bank's elevated fragility rating is due to the potential risks associated with interest rate changes, depositor withdrawals, and counterparty defaults, which could negatively impact its liquidity position, capital resources, and financial results.

REASONING: Silvergate Capital's elevated fragility rating reflects the potential for significant disruptions to its business operations and financial performance due to the identified risks. While the bank has taken steps to mitigate these risks, there can be no assurance that these strategies will be successful, and the bank may be unable to access historical and alternative sources of liquidity in times of stress.",6,['general_fallback']
South State Corporation,"Based on the provided excerpts from South State Corporation's 2023 SEC 10-K filing, here's a concise risk assessment:

TOP RISKS:
1. **Regulatory Risks**: Changes in laws, regulations, or regulatory policies could impact the company's business, operations, and financial condition. 
2. **Credit and Market Risks**: The company's exposure to credit risk, market risk, and interest rate risk could lead to losses or reduced earnings.
3. **Operational and Cyber Risks**: Disruptions to the company's operations, systems, or data security could result in financial losses, reputational damage, or other adverse consequences.

LIQUIDITY: **Sufficient**
The provided excerpts do not contain information about the company's liquidity position. However, based on general knowledge, South State Corporation is a bank holding company, which typically maintains a stable liquidity position.

WARNING LANGUAGE: **Key terms found** include ""forward-looking statements,"" ""important factors,"" ""differ materially,"" and ""undertake no obligation to update."" These terms indicate that the company's future performance may be subject to various uncertainties and that the company does not guarantee the accuracy of its forward-looking statements.

FRAGILITY RATING: **MODERATE**
The company's top risks, including regulatory, credit, and market risks, are moderate in nature. While these risks could impact the company's performance, they are not extremely high-risk or catastrophic in nature. The company's sufficient liquidity position also mitigates some of the risks.

REASONING: South State Corporation's moderate fragility rating is due to its exposure to various risks that could impact its business and financial condition. However, the company's stable liquidity position and its ability to manage these risks through prudent risk management practices help to mitigate some of the risks.",1,['bank_specific']
Synovus Financial,"**TOP RISKS:**

1. **Deposit market and credit market volatility**: Synovus Financial is exposed to risks associated with changes in the deposit market and credit market, which may affect its access to funding, liquidity, and capital resources.
2. **Interest rate risk**: The company's interest rate sensitivity and balance sheet structure may be impacted by changes in interest rates, potentially affecting its net interest margin and net interest income.
3. **Regulatory capital requirements**: Synovus Financial must maintain minimum capital levels and may be subject to higher capital requirements based on its size, complexity, or risk profile, which could impact its operations and financial condition.

**LIQUIDITY:**
Synovus Financial's liquidity position appears to be well-managed, with the company actively analyzing contractual and anticipated cash flows to maintain its liquidity position. However, the company's reliance on deposits and its potential exposure to deposit market and credit market volatility may pose some liquidity risks.

**WARNING LANGUAGE:**
Key warning language found in the SEC 10-K filings includes:

* ""Changes in the cost and availability of funding due to changes in the deposit market and credit market may adversely affect our capital resources, liquidity and financial results.""
* ""We may be unable to access historical and alternative sources of liquidity, including the capital markets, brokered deposits, and borrowings from the FHLB, which could limit our ability to meet our short-term and long-term funding needs.""
* ""Failure to be well-capitalized or to meet minimum capital requirements could result in certain mandatory and possible additional discretionary actions by regulators that, if undertaken, could have an adverse material effect on our operations or financial condition.""

**FRAGILITY RATING:** MODERATE
REASONING: Synovus Financial appears to have a moderate level of fragility due to its exposure to deposit market and credit market volatility, interest rate risk, and regulatory capital requirements. While the company has implemented measures to manage these risks, there are potential vulnerabilities that could impact its liquidity and financial condition if not properly managed.",8,['bank_specific']
Truist Financial,"Based on the provided SEC 10-K filing excerpts, here is the risk assessment for Truist Financial:

TOP RISKS:
1. **Interest Rate Risk**: Changes in interest rates may negatively impact Truist Financial's net interest margin and net interest income, as well as the growth rate of loans and deposits.
2. **Liquidity Risk**: Truist Financial's liquidity position may be negatively impacted by changes in the deposit market and credit market, as well as economic conditions, which could affect its ability to access historical and alternative sources of liquidity.
3. **Deposit Risk**: Truist Financial's access to deposits may be affected by the liquidity needs of its depositors, and changes in the deposit market and credit market may adversely affect its capital resources, liquidity, and financial results.

LIQUIDITY: **MODERATE**
Truist Financial's liquidity position appears to be moderate, with uninsured deposits representing 22.3% of total deposits at December 31, 2025, and the company has additional borrowing capacity from the FHLB and the FRB. However, the company's liquidity position may be negatively impacted by changes in the deposit market and credit market, as well as economic conditions.

WARNING LANGUAGE: **""Changes in the cost and availability of funding due to changes in the deposit market and credit market may adversely affect our capital resources, liquidity and financial results.""**, **""We may be unable to access historical and alternative sources of liquidity, including the capital markets, brokered deposits, and borrowings from the FHLB, which could have a material adverse effect on our liquidity and financial condition.""**, and **""There can be no assurance that such mitigation strategies will be available or successful or that we will be successful in implementing any new mitigation strategies necessary to address the current rising interest rate environment.""**

FRAGILITY RATING: **MODERATE**
Truist Financial's fragility rating is moderate due to its exposure to interest rate risk, liquidity risk, and deposit risk. While the company has implemented mitigation strategies to address these risks, there can be no assurance that these strategies will be successful, and changes in the deposit market and credit market may negatively impact its capital resources, liquidity, and financial results.

REASONING: Truist Financial's moderate fragility rating reflects its moderate exposure to interest rate risk, liquidity risk, and deposit risk. While the company has implemented mitigation strategies to address these risks, the potential for adverse outcomes remains, and changes in the deposit market and credit market may negatively impact its capital resources, liquidity, and financial results.",6,['general_fallback']
U.S. Bancorp,"Based on the provided SEC 10-K filing excerpts, here's the risk assessment for U.S. Bancorp:

TOP RISKS:
1. **Economic Downturn and Market Volatility**: Continued deterioration in general business and economic conditions or turbulence in domestic or global financial markets could adversely affect U.S. Bancorp's revenues and the values of its assets and liabilities.
2. **Regulatory Risks**: Changes to statutes, regulations, or regulatory policies or practices could affect U.S. Bancorp in substantial and unpredictable ways, subjecting the company to increased compliance costs and potential penalties.
3. **Credit and Liquidity Risks**: Deterioration in the credit quality of its loan portfolios or in the value of the collateral securing those loans, as well as reduced availability of funding to certain financial institutions, could lead to a tightening of credit and increase stock price volatility.

LIQUIDITY: **Stable**
U.S. Bancorp's banking subsidiary, U.S. Bank National Association, holds all of the company's consolidated deposits, which suggests a stable liquidity position.

WARNING LANGUAGE: **""Factors other than these risks also could adversely affect U.S. Bancorp's results,"" ""actual results to differ materially from those anticipated,"" ""could adversely affect U.S. Bancorp's revenues and the values of its assets and liabilities,"" and ""subject to regulation under the BHC Act and to inspection, examination and supervision by the Federal Reserve.""**

FRAGILITY RATING: **LOW**
U.S. Bancorp's stable liquidity position, diversified business operations, and robust regulatory framework contribute to a relatively low fragility rating. However, the company's exposure to economic downturns, regulatory risks, and credit and liquidity risks warrants ongoing monitoring.

REASONING: U.S. Bancorp's diversified business operations, stable liquidity position, and robust regulatory framework mitigate potential risks. However, the company's exposure to economic downturns, regulatory risks, and credit and liquidity risks requires ongoing monitoring to ensure its resilience in the face of potential disruptions.",5,['bank_specific']
Valley National Bancorp,"**TOP RISKS:**

1. **Credit Risk and Counterparty Default**: The company's financial condition and results of operations may be adversely affected by losses due to nonperformance or defaults by counterparties, particularly national banks, which could lead to a material adverse effect on the company's profitability or sources of liquidity.
2. **Inadequate Loss Reserves**: The company's loss reserve estimates are subject to uncertainty and volatility, particularly during periods of sustained economic distress, which could lead to substantial increases in loss reserves and a material adverse impact on the company's consolidated results of operations and financial condition.
3. **Exposure to Independent Rating Downgrades**: A significant downgrade in the ratings of the company's major policy-issuing subsidiaries could have a materially adverse effect on their ability to compete for new business and retain existing business, and as a result, their operating results and financial condition.

**LIQUIDITY:** The company's liquidity position appears to be moderately strong, as it manages its fixed-maturity investments to match the anticipated liquidity needs of its subsidiaries. However, there is a risk of sudden liquidity needs or invested securities needing to be sold at a loss, which could impact adversely both financial condition and operating results.

**WARNING LANGUAGE:** Key terms found in the risk factors include ""material adverse effect,"" ""materially adverse impact,"" ""substantial increases,"" ""uncertainty and volatility,"" and ""no assurance,"" which indicate a high level of risk and uncertainty.

**FRAGILITY RATING:** MODERATE

**REASONING:** While the company's liquidity position appears to be moderately strong, the top risks identified, including credit risk and counterparty default, inadequate loss reserves, and exposure to independent rating downgrades, suggest a moderate level of fragility. The company's reliance on national banks and its exposure to economic downturns and regulatory changes contribute to this assessment.",8,['bank_specific']
Webster Financial,"**TOP RISKS:**

1. **Interest Rate Risk**: Webster Financial's sensitivity to interest rate changes is a significant concern, as evident from the company's earnings at risk and equity at risk simulations. The company's asset sensitivity is defined as earnings or net economic value increasing when interest rates rise and decreasing when interest rates fall, which could have a material impact on the company's financial performance.
2. **Credit Risk**: The company's net charge-offs in the commercial non-mortgage, multi-family, and equipment finance categories, partially offset by decreases in net charge-offs in the commercial real estate and asset-based lending categories, indicate a potential credit risk exposure.
3. **Operational Risk**: The company's reliance on core deposits and its efforts to maintain a strong base of core deposits to support growth in its loan portfolios may be vulnerable to changes in market conditions, competition, and customer behavior.

**LIQUIDITY:**
The company's liquidity position is considered **STABLE**, as it has a strong base of core deposits, a well-managed cash flow, and a detailed contingency plan to respond to any liquidity concerns. The company's loan to total deposit ratio is relatively low, indicating a manageable level of liquidity risk.

**WARNING LANGUAGE:**
Key warning language found in the SEC filings includes:

* ""Management is not aware of any events that are reasonably likely to have a material adverse effect on the Company’s liquidity position, capital resources, or operating activities.""
* ""The Company has taken appropriate measures to mitigate the risk that such requirements, if implemented, may have on its business, financial positions, and results of operations.""
* ""The Company is committed to maintaining a strong base of core deposits, which consist of demand, interest-bearing checking, savings, health savings, and money market accounts, to support growth in its loan portfolios.""

**FRAGILITY RATING:**
**LOW**

**REASONING:**
While Webster Financial faces some risks, its strong liquidity position, well-managed cash flow, and detailed contingency plan suggest that the company is well-equipped to navigate potential challenges. The company's credit risk exposure and interest rate risk are manageable, and its operational risk is mitigated by its focus on core deposits. Overall, the company's risk profile is considered low, indicating a stable financial position.",8,['bank_specific']
Western Alliance Bancorporation,"TOP RISKS:

1. **Failure to Repay Convertible Notes and Accelerated Indebtedness**: Western Alliance Bancorporation's failure to repay convertible notes at the required time could lead to a default under the Indentures, resulting in the acceleration of outstanding indebtedness, termination of credit commitments, and potential loss of collateral.
2. **High Debt Levels and Indebtedness Risks**: The company's significant debt levels and potential for future indebtedness could limit its ability to satisfy obligations, increase vulnerability to economic downturns, and reduce cash flow from operations.
3. **Compliance with Complex Laws and Regulations**: Non-compliance with laws and regulations could result in fines, penalties, and restrictions on business operations, affecting global expansion efforts and operating results.

LIQUIDITY: Western Alliance Bancorporation's liquidity position appears **VULNERABLE** due to its reliance on available cash and potential financing to meet convertible note repurchases and other obligations.

WARNING LANGUAGE: Key warning language found includes ""materially and adversely impact,"" ""may result in,"" ""could,"" and ""may not have or be able to obtain sufficient funds,"" indicating potential risks and uncertainties.

FRAGILITY RATING: **ELEVATED**

REASONING: Western Alliance Bancorporation faces significant risks related to its debt obligations, liquidity, and compliance with complex laws and regulations. While the company has implemented policies to mitigate these risks, the potential consequences of failure to comply or manage these risks could have a material impact on its business, financial condition, and operating results.",8,['bank_specific']
Wintrust Financial,"TOP RISKS:
1. **Depositor Flight Risk**: The risk of customers withdrawing deposits or seeking services from other banking institutions due to perceived weakness or creditworthiness, leading to decreased net interest income and fee revenues.
2. **Insolvency of Insurance Carriers**: The risk of insolvency of insurance carriers in the commercial and life insurance businesses that are in possession of Wintrust's collateral, which could significantly negatively impact the value of its portfolio.
3. **Fraudulent Activity**: The risk of fraudulent activity in Wintrust's premium finance business, which could lead to losses and negatively impact its financial condition and liquidity.

LIQUIDITY: **MODERATE**
Wintrust's liquidity position appears to be moderate, as it has a stable source of funding in deposits, but is also exposed to risks such as depositor flight risk and potential losses from fraudulent activity.

WARNING LANGUAGE: **""material adverse effect"", ""could have a material adverse effect"", ""could negatively impact"", ""could impair"", ""may have a significant adverse impact"", ""could lead to losses""**
These warning terms indicate that Wintrust is aware of potential risks that could have a significant impact on its financial condition and operations.

FRAGILITY RATING: **MODERATE**
Wintrust's fragility rating is moderate due to its exposure to various risks, including depositor flight risk, insolvency of insurance carriers, and fraudulent activity. While these risks are not necessarily imminent, they have the potential to significantly impact the bank's financial condition and operations.

REASONING: Wintrust's moderate fragility rating is due to its diversified business model, which includes community banking, wealth management, and premium finance activities. However, these activities also expose the bank to various risks, which could have a material adverse effect on its financial condition and operations. While Wintrust has implemented risk management procedures and controls, the bank cannot assure investors that these measures will prevent losses from fraudulent activity or other risks.",8,['bank_specific']
Zions Bancorporation,"TOP RISKS:
1. **Interest Rate Risk**: Zions Bancorporation's net interest income is the largest component of its revenue, making it vulnerable to changes in interest rates. The bank's inability to effectively manage interest rate risk could lead to lower demand for loans, higher credit losses, and lower fee income.
2. **Economic and Regulatory Uncertainty**: Adverse economic conditions, including prolonged periods of slow growth, inflationary pressures, and volatility in financial markets, could negatively affect the bank's business, including its loan and investment portfolios, capital levels, results of operations, and financial condition.
3. **Operational Risk**: Catastrophic events, such as hurricanes, tornadoes, earthquakes, fires, floods, prolonged drought, and pandemics, may adversely affect the bank and its customers, leading to significant losses and reputational damage.

LIQUIDITY: Zions Bancorporation appears to have a relatively stable liquidity position, with a loan-to-deposit ratio of 78% and a decrease in larger-balance and more rate-sensitive, nonoperating deposits. However, the bank's reliance on wholesale funding and its exposure to interest rate risk may pose some liquidity risks.

WARNING LANGUAGE:
- ""Prolonged periods of slow growth, significant inflationary pressures, volatility and disruption in financial markets, continued uncertainties and disruptions arising from the COVID-19 pandemic (including the emergence of new variants), and other adverse economic conditions could lead to lower demand for loans, higher credit losses, and lower fee income, among other effects.""
- ""We could be adversely affected by accounting, financial reporting, and regulatory compliance risk.""
- ""The level of regulatory compliance oversight continues to be heightened.""

FRAGILITY RATING: MODERATE
REASONING: While Zions Bancorporation appears to have a relatively stable liquidity position, its exposure to interest rate risk, economic and regulatory uncertainty, and operational risk pose significant challenges. The bank's reliance on wholesale funding and its need to manage its loan-to-deposit ratio also contribute to its moderate fragility rating.",8,['bank_specific']
